city,groc_rice_basmati,groc_wheat_flour_atta,groc_toor_dal,groc_milk_full_cream,groc_eggs,groc_chicken,groc_paneer,groc_onions,groc_tomatoes,groc_potatoes,groc_cooking_oil_sunflower,groc_sugar,groc_apples_shimla,groc_bananas,groc_bread_white_sliced,groc_whey_protein_1_kg,scraped_date
Mumbai,110.0,55.0,160.0,62.0,84.0,280.0,400.0,40.0,50.0,35.0,160.0,48.0,200.0,60.0,50.0,3000.0,2026-03-31
Delhi,100.0,50.0,155.0,60.0,78.0,250.0,380.0,35.0,45.0,30.0,155.0,46.0,180.0,50.0,45.0,3000.0,2026-03-31
Bangalore,105.0,52.0,155.0,56.0,78.0,240.0,380.0,38.0,45.0,35.0,155.0,46.0,200.0,50.0,45.0,3000.0,2026-03-31
Hyderabad,95.0,48.0,148.0,54.0,72.0,220.0,360.0,32.0,38.0,30.0,150.0,44.0,210.0,45.0,42.0,3000.0,2026-03-31
Chennai,95.0,50.0,150.0,52.0,72.0,220.0,360.0,35.0,40.0,32.0,150.0,44.0,220.0,45.0,42.0,3000.0,2026-03-31
Kolkata,90.0,45.0,145.0,52.0,72.0,220.0,340.0,30.0,38.0,25.0,148.0,43.0,200.0,45.0,40.0,3000.0,2026-03-31
Pune,100.0,50.0,155.0,56.0,78.0,240.0,370.0,35.0,42.0,32.0,155.0,46.0,190.0,50.0,45.0,3000.0,2026-03-31
Ahmedabad,95.0,48.0,148.0,56.0,75.0,230.0,350.0,30.0,38.0,28.0,148.0,44.0,195.0,45.0,42.0,3000.0,2026-03-31
Jaipur,90.0,45.0,145.0,54.0,72.0,220.0,340.0,28.0,35.0,25.0,145.0,42.0,180.0,40.0,40.0,3000.0,2026-03-31
Surat,90.0,48.0,148.0,58.0,78.0,240.0,360.0,32.0,40.0,30.0,150.0,44.0,195.0,48.0,42.0,3000.0,2026-03-31
Lucknow,85.0,42.0,140.0,52.0,70.0,200.0,330.0,28.0,32.0,22.0,142.0,42.0,180.0,40.0,38.0,3000.0,2026-03-31
Kanpur,80.0,40.0,138.0,52.0,68.0,200.0,320.0,26.0,30.0,22.0,140.0,42.0,178.0,38.0,36.0,3000.0,2026-03-31
Nagpur,88.0,45.0,148.0,56.0,78.0,230.0,350.0,30.0,38.0,28.0,148.0,44.0,190.0,45.0,42.0,3000.0,2026-03-31
Indore,85.0,42.0,140.0,62.0,96.0,240.0,340.0,35.0,40.0,30.0,145.0,42.0,175.0,45.0,40.0,3000.0,2026-03-31
Bhopal,82.0,42.0,138.0,58.0,90.0,230.0,330.0,30.0,38.0,28.0,142.0,42.0,175.0,42.0,38.0,3000.0,2026-03-31
Visakhapatnam,85.0,48.0,145.0,54.0,72.0,220.0,350.0,30.0,38.0,30.0,148.0,43.0,210.0,42.0,40.0,3000.0,2026-03-31
Patna,78.0,40.0,135.0,52.0,68.0,200.0,320.0,25.0,30.0,20.0,138.0,40.0,180.0,38.0,36.0,3000.0,2026-03-31
Vadodara,88.0,45.0,145.0,60.0,80.0,240.0,350.0,30.0,38.0,28.0,148.0,43.0,190.0,45.0,40.0,3000.0,2026-03-31
Ludhiana,88.0,42.0,145.0,60.0,82.0,245.0,360.0,30.0,40.0,25.0,150.0,44.0,165.0,45.0,40.0,3000.0,2026-03-31
Coimbatore,82.0,48.0,148.0,52.0,72.0,240.0,360.0,32.0,38.0,35.0,148.0,43.0,220.0,42.0,40.0,3000.0,2026-03-31
