city,rent_1_bhk_in_city_centre,rent_1_bhk_outside_city_centre,rent_2_bhk_in_city_centre,rent_2_bhk_outside_city_centre,rent_3_bhk_in_city_centre,rent_3_bhk_outside_city_centre,rent_home_loan_emi_2bhk_avg,scraped_date
Mumbai,65000.0,35000.0,110000.00000000001,55000.0,160000.0,75000.0,83000.0,2026-03-31
Delhi,22000.0,12000.0,40000.0,22000.0,70000.0,35000.0,59000.0,2026-03-31
Bangalore,28000.0,18000.0,50000.0,30000.0,80000.0,45000.0,95000.0,2026-03-31
Hyderabad,16000.0,9000.0,28000.0,16000.0,50000.0,26000.0,42000.0,2026-03-31
Chennai,18000.0,10000.0,32000.0,18000.0,55000.0,28000.0,51000.0,2026-03-31
Kolkata,14000.0,7500.0,25000.0,13000.0,42000.0,22000.0,31000.0,2026-03-31
Pune,20000.0,12000.0,35000.0,20000.0,55000.0,30000.0,66000.0,2026-03-31
Ahmedabad,14000.0,8000.0,24000.0,14000.0,40000.0,22000.0,35000.0,2026-03-31
Jaipur,12000.0,7000.0,20000.0,12000.0,35000.0,18000.0,24000.0,2026-03-31
Surat,13000.0,7500.0,22000.0,13000.0,38000.0,20000.0,44000.0,2026-03-31
Lucknow,10000.0,6000.0,18000.0,10000.0,30000.0,16000.0,18000.0,2026-03-31
Kanpur,8000.0,5000.0,14000.0,8000.0,22000.0,13000.0,28000.0,2026-03-31
Nagpur,12000.0,7000.0,20000.0,12000.0,35000.0,18000.0,40000.0,2026-03-31
Indore,12000.0,7000.0,20000.0,12000.0,35000.0,20000.0,40000.0,2026-03-31
Bhopal,10000.0,6000.0,18000.0,10000.0,28000.0,16000.0,36000.0,2026-03-31
Visakhapatnam,12000.0,7000.0,20000.0,12000.0,35000.0,18000.0,40000.0,2026-03-31
Patna,9000.0,5500.0,15000.0,9000.0,25000.0,14000.0,30000.0,2026-03-31
Vadodara,11000.0,6500.0,18000.0,11000.0,30000.0,18000.0,36000.0,2026-03-31
Ludhiana,11000.0,6500.0,18000.0,11000.0,28000.0,16000.0,36000.0,2026-03-31
Coimbatore,12000.0,7000.0,20000.0,12000.0,35000.0,18000.0,40000.0,2026-03-31
