city,date,extracted_at,petrol,diesel,cng,lpg,ev_per_kwh,source
Kolkata,2026-03-22,2026-03-22 21:14,106.03,92.76,67.2,803.0,10.0,fallback
Mumbai,2026-03-22,2026-03-22 21:14,106.31,94.27,74.5,803.0,12.0,fallback
Bangalore,2026-03-22,2026-03-22 21:14,102.86,88.94,67.8,803.0,11.0,fallback
Delhi,2026-03-22,2026-03-22 21:14,95.72,88.62,74.09,803.0,10.5,fallback
Hyderabad,2026-03-22,2026-03-22 21:14,109.66,97.82,70.0,803.0,11.5,fallback
Chennai,2026-03-22,2026-03-22 21:14,102.63,94.24,68.0,803.0,10.5,fallback
Pune,2026-03-22,2026-03-22 21:15,105.87,92.1,72.0,803.0,11.0,fallback
Ahmedabad,2026-03-22,2026-03-22 21:15,96.63,92.38,63.0,803.0,9.5,fallback
Jaipur,2026-03-22,2026-03-22 21:15,108.48,93.72,73.0,803.0,10.0,fallback
Indore,2026-03-22,2026-03-22 21:15,107.94,96.84,72.0,803.0,10.0,fallback
Lucknow,2026-03-22,2026-03-22 21:15,96.57,89.76,76.0,803.0,10.5,fallback
Surat,2026-03-22,2026-03-22 21:15,96.59,92.35,64.0,803.0,9.5,fallback
Nagpur,2026-03-22,2026-03-22 21:15,104.78,91.97,69.0,803.0,10.0,fallback
Bhopal,2026-03-22,2026-03-22 21:15,108.65,93.9,71.0,803.0,10.0,fallback
Coimbatore,2026-03-22,2026-03-22 21:15,103.0,89.0,,803.0,10.5,fallback
Patna,2026-03-22,2026-03-22 21:15,107.74,94.28,78.0,803.0,10.0,fallback
Chandigarh,2026-03-22,2026-03-22 21:16,96.2,84.26,72.0,803.0,10.0,fallback
Bhubaneswar,2026-03-22,2026-03-22 21:16,103.19,94.76,,803.0,10.0,fallback
Kochi,2026-03-22,2026-03-22 21:16,107.63,96.43,,803.0,11.0,fallback
Guwahati,2026-03-22,2026-03-22 21:16,96.01,83.94,,803.0,10.0,fallback
Varanasi,2026-03-22,2026-03-22 21:16,96.57,89.76,76.0,803.0,10.0,fallback
Agra,2026-03-22,2026-03-22 21:16,96.44,89.62,75.5,803.0,10.0,fallback
Vadodara,2026-03-22,2026-03-22 21:16,96.55,92.27,64.0,803.0,9.5,fallback
Rajkot,2026-03-22,2026-03-22 21:16,96.48,92.2,63.5,803.0,9.5,fallback
Madurai,2026-03-22,2026-03-22 21:16,102.51,94.12,,803.0,10.5,fallback
Mysore,2026-03-22,2026-03-22 21:17,102.64,88.8,,803.0,11.0,fallback
Thiruvananthapuram,2026-03-22,2026-03-22 21:17,107.71,96.52,,803.0,11.0,fallback
Dehradun,2026-03-22,2026-03-22 21:17,95.3,88.0,72.0,803.0,10.0,fallback
Ranchi,2026-03-22,2026-03-22 21:17,99.84,95.16,,803.0,10.0,fallback
Goa,2026-03-22,2026-03-22 21:17,96.77,89.49,,803.0,11.0,fallback
